12:08:54 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:09:06 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:09:39 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:11:12 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:37:48 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:37:59 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:45:39 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:49:19 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:50:59 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:52:39 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:55:30 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
12:56:23 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
13:30:34 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
13:30:40 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
13:56:57 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
13:57:06 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.204.71, GameServerCode: 1)
13:58:32 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
13:59:24 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
14:03:10 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
14:03:47 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
14:10:19 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
15:35:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
15:36:14 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
15:48:23 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
15:57:35 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
16:16:17 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
16:16:34 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
16:17:14 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
16:18:25 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
16:18:34 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
16:18:49 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
17:27:05 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
17:35:11 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
19:05:24 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
