04:29:48 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:30:20 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:30:28 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:31:39 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:31:47 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:31:59 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:32:06 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:32:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:32:22 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:32:46 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:33:53 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:34:10 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:39:42 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:39:58 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:40:57 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:41:18 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:41:34 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:42:40 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:42:57 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:43:16 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:43:36 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:43:43 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:45:42 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:45:53 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:46:07 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:47:02 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:48:02 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:48:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:48:21 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:48:55 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:50:54 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:51:22 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:58:19 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
04:59:18 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:00:23 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:00:30 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:01:13 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:01:40 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:02:34 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:04:00 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:04:08 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:15:06 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:15:43 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:15:58 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:16:04 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:18:10 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:19:09 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:19:52 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:20:21 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:21:57 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:22:27 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:35:56 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:36:25 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:36:32 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:37:19 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:38:47 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:39:06 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:39:17 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:39:25 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:41:05 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:43:33 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:45:16 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:47:51 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:48:03 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:49:54 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:50:03 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:51:29 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:54:57 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:55:19 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:56:36 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:56:50 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:57:27 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:57:46 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
05:58:02 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
06:13:14 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
06:13:24 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
06:15:02 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
06:16:03 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
06:16:14 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
06:16:19 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
