12:00:21 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
12:00:54 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
12:09:58 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
12:11:17 [AccountInfo] Account connected (Account: 2, IpAddress: 192.168.1.15, GameServerCode: 1)
12:11:50 [AccountInfo] Account disconnected (Account: 2, IpAddress: 192.168.1.15, GameServerCode: 1)
12:11:52 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
14:39:15 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
14:44:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:29:35 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:29:59 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:31:13 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:31:53 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:33:09 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:33:18 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:33:47 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:33:52 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:37:35 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:39:14 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:39:56 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:40:18 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:42:14 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:43:58 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:44:19 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:45:16 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:45:50 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:50:27 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:53:34 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:53:49 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:54:59 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:55:23 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
15:56:44 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
16:00:22 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
16:00:44 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
16:03:14 [AccountInfo] Account disconnected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
16:04:57 [AccountInfo] Account connected (Account: teste, IpAddress: 192.168.1.15, GameServerCode: 1)
