20:21:12 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
20:21:21 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
20:39:09 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
20:39:33 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
20:51:48 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
21:11:36 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
21:12:22 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
21:13:10 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
21:14:04 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
21:14:44 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
21:15:19 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
21:15:34 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.192.152, GameServerCode: 1)
21:19:24 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
21:20:33 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
21:20:41 [AccountInfo] Account connected (Account: 2, IpAddress: 191.5.192.152, GameServerCode: 1)
21:21:23 [AccountInfo] Account disconnected (Account: 2, IpAddress: 191.5.192.152, GameServerCode: 1)
