11:48:46 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
11:49:49 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
17:06:12 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
17:06:46 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:35:38 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:39:23 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:39:44 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:40:16 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:42:33 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:47:20 [AccountInfo] Account disconnected by clear (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:48:25 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:49:40 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:51:36 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:51:54 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:52:36 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:53:07 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:53:45 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
19:54:08 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.240, GameServerCode: 1)
