21:13:39 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
21:17:13 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
23:24:14 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.90, GameServerCode: 1)
23:24:25 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.90, GameServerCode: 1)
23:34:25 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.90, GameServerCode: 1)
23:34:52 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.90, GameServerCode: 1)
23:34:55 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.90, GameServerCode: 1)
23:35:02 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.90, GameServerCode: 1)
23:43:25 [AccountInfo] Account connected (Account: teste, IpAddress: 191.5.197.90, GameServerCode: 1)
23:43:39 [AccountInfo] Account disconnected (Account: teste, IpAddress: 191.5.197.90, GameServerCode: 1)
