08:32:04 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
08:32:34 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
08:32:54 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
10:55:01 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
11:51:41 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
11:53:43 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
11:54:27 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
11:58:34 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
11:59:05 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
12:00:49 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
12:01:13 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
12:02:56 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
12:03:28 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
12:06:08 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
12:06:36 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
14:08:02 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
16:10:09 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
17:14:11 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
18:20:41 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
18:46:31 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
18:46:47 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
18:47:35 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
18:47:54 [AccountInfo] Account connected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
18:48:16 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.59.216.56, GameServerCode: 1)
