19:34:28 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:34:54 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:35:24 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:35:37 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:36:15 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:36:31 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:36:40 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:36:45 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:36:54 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:37:07 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:37:20 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:37:25 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:37:33 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:37:50 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:38:05 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:38:15 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:38:23 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:38:40 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:38:48 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:38:53 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:39:00 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:39:07 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:39:21 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:39:32 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:39:50 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:39:54 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:40:03 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:40:12 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:40:20 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:40:42 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:41:16 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:42:07 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:42:18 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:42:30 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:42:37 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:42:50 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:43:05 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:45:26 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:45:57 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:46:06 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:46:10 [AccountInfo] Account connected (Account: 2, IpAddress: 138.122.31.61, GameServerCode: 1)
19:48:09 [AccountInfo] Account disconnected (Account: 2, IpAddress: 138.122.31.61, GameServerCode: 1)
19:48:28 [AccountInfo] Account connected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
19:49:32 [AccountInfo] Account disconnected (Account: teste, IpAddress: 138.122.31.61, GameServerCode: 1)
